Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
2,26,1,39,12,16,11,8,36,20,8,8,56,6,15,5,11,8,11
2,31,7,35,3,20,12,35,48,30,11,7,73,5,12,6,20,12,18
2,28,4,36,7,17,12,14,39,27,6,6,64,5,17,7,11,11,13
2,26,5,36,7,18,11,34,48,30,11,7,84,9,21,8,14,15,17
2,36,15,47,14,19,14,29,35,21,9,5,77,11,18,6,14,12,16
2,42,7,23,8,9,6,18,49,29,11,9,57,5,13,7,13,8,11
2,40,7,35,5,20,10,23,50,28,14,8,63,7,11,8,13,9,15
1,29,4,39,7,18,14,30,26,12,7,7,80,6,18,7,16,14,19
2,35,5,34,8,16,10,22,33,23,4,6,72,14,14,5,11,11,17
1,25,0,39,7,19,13,25,33,18,9,6,63,11,9,7,7,12,17
2,30,9,35,7,17,11,21,38,19,10,9,61,5,13,7,13,10,13
2,30,2,37,10,14,13,30,47,28,11,8,88,7,25,7,20,15,14
2,32,11,40,12,16,12,26,54,31,14,9,77,7,24,5,20,9,12
2,32,7,42,12,17,13,13,36,23,7,6,96,12,23,5,19,15,22
2,31,8,43,12,17,14,34,42,26,9,7,74,5,22,7,18,11,11
2,30,8,46,12,19,15,35,45,28,10,7,82,5,23,6,18,10,20
2,31,8,49,14,20,15,35,46,27,10,9,85,15,20,6,17,11,16
2,26,4,43,10,18,15,31,36,16,10,10,77,7,18,8,16,12,16
1,23,1,43,10,18,15,26,42,26,9,7,70,10,18,6,12,11,13
2,30,7,39,7,18,14,19,35,22,6,7,63,6,14,4,13,10,16
2,25,1,44,9,20,15,29,48,27,11,10,76,5,18,10,17,11,15
2,24,1,37,6,18,13,30,43,27,10,6,83,6,21,5,18,13,20
2,29,5,40,12,16,12,21,34,23,6,5,72,5,18,6,16,8,19
2,37,10,48,14,19,15,31,40,25,8,7,68,6,15,8,12,11,16
2,22,0,40,8,17,15,21,28,15,4,9,49,6,13,5,6,11,8
2,29,2,39,11,15,13,16,33,25,3,5,58,8,9,3,11,14,13
2,26,5,39,8,20,11,26,41,27,8,6,112,12,25,10,22,17,26
2,31,1,38,12,14,12,22,44,27,8,9,72,7,13,6,18,11,17
2,24,0,42,9,18,15,20,35,19,7,9,83,7,20,7,16,14,19
2,25,3,36,8,18,10,24,38,19,12,7,63,10,12,3,14,8,16
2,25,4,46,11,20,15,35,34,22,5,7,109,7,28,11,22,15,26
2,33,4,40,12,16,12,21,44,25,12,7,78,7,16,9,16,12,18
2,22,1,39,6,18,15,29,39,21,9,9,99,8,23,10,21,13,24
2,29,5,43,8,20,15,26,37,21,8,8,82,9,19,8,17,11,18
2,24,0,34,9,15,10,23,31,17,6,8,59,5,15,7,13,9,10
2,36,4,12,4,5,3,14,48,26,11,11,76,6,19,10,18,12,11
1,28,1,30,10,10,10,7,30,15,8,7,41,10,5,2,4,14,6
2,23,1,37,14,15,8,9,28,14,7,7,53,6,8,5,9,12,13
2,30,12,46,11,20,15,19,37,19,10,8,67,8,13,7,16,10,13
2,26,2,35,4,16,15,14,37,18,12,7,70,7,15,4,14,13,17
2,28,7,31,6,15,10,20,46,29,10,7,82,6,19,9,19,13,16
2,31,8,39,11,16,12,28,46,27,8,11,91,6,23,9,17,14,22
2,25,4,38,9,16,13,21,35,19,7,9,72,7,17,5,15,15,13
2,24,0,38,3,20,15,15,38,20,9,9,96,7,26,6,21,13,23
2,26,2,34,7,16,11,18,30,17,7,6,70,9,13,6,15,13,14
2,32,10,39,7,17,15,14,28,15,8,5,46,7,11,2,7,13,6
2,38,6,34,11,13,10,12,33,16,6,11,71,14,16,5,14,9,13
2,39,17,32,6,16,10,19,48,29,12,7,65,5,13,5,15,13,14
2,24,1,35,9,15,11,20,20,14,2,4,74,10,17,6,14,11,16
2,27,9,36,10,14,12,20,30,16,8,6,78,10,19,7,14,11,17
2,23,0,37,11,14,12,21,37,20,11,6,96,9,22,9,18,16,22
2,25,1,41,7,19,15,31,54,28,16,10,86,7,25,10,16,10,18
2,31,10,37,9,16,12,24,40,22,9,9,89,10,20,10,16,14,19
2,26,3,44,10,20,14,8,35,20,9,6,60,5,15,5,13,11,11
2,25,2,38,10,16,12,20,41,23,9,9,62,7,17,4,15,5,14
2,28,3,38,5,18,15,16,32,18,8,6,68,6,14,7,16,11,14
2,30,12,49,14,20,15,35,40,23,9,8,57,5,11,6,11,10,14
2,34,4,40,8,17,15,35,48,29,10,9,88,9,24,8,19,12,16
2,24,0,42,11,20,11,34,33,19,7,7,93,7,22,9,21,14,20
2,42,20,34,8,15,11,25,52,31,12,9,96,7,20,9,22,16,22
1,23,2,30,9,12,9,15,28,16,4,8,75,16,13,5,14,14,13
1,30,3,30,8,14,8,17,25,16,6,3,83,16,20,7,15,10,15
2,22,2,36,10,18,8,21,38,22,9,7,65,10,12,5,11,11,16
2,25,2,38,8,17,13,20,42,19,15,8,82,8,21,8,18,13,14
2,,20,30,12,12,6,11,36,22,7,7,64,7,13,6,11,10,17
2,24,1,28,4,15,9,16,29,19,3,7,66,5,11,8,16,10,16
2,25,0,33,5,16,12,22,35,22,7,6,75,13,12,8,12,14,16
2,41,5,46,14,19,13,35,43,27,8,8,48,7,9,5,8,12,7
2,25,5,39,13,15,11,23,46,23,12,11,88,9,23,10,17,11,18
2,30,0,38,6,17,15,25,45,28,9,8,71,10,13,8,13,9,18
2,27,2,43,8,20,15,23,30,17,7,6,88,9,22,9,17,15,16
2,28,6,35,4,16,15,19,28,15,8,5,59,4,15,4,15,10,11
2,27,6,42,9,18,15,25,33,14,11,8,72,9,15,6,14,11,17
2,30,6,43,10,20,13,21,38,26,8,4,84,10,20,8,13,13,20
2,33,5,34,6,16,12,11,44,28,9,7,79,8,21,6,16,12,16
2,27,1,42,7,20,15,24,33,22,4,7,53,7,5,2,12,14,13
2,32,3,38,12,14,12,35,41,23,11,7,93,13,22,10,17,11,20
2,27,5,35,11,15,9,21,42,22,11,9,66,11,12,5,15,10,13
